symbol,resolved_systematic_id,uniprot_id,gene_name,source_go_terms,module,submodule,shared_with_bulk_autophagy,role,notes
GPAM,ENSG00000119927,Q9HCL2,"glycerol-3-phosphate acyltransferase, mitochondrial",,biogenesis,TAG_synthesis,False,machinery,
GPAT2,ENSG00000186281,Q6NUI2,"glycerol-3-phosphate acyltransferase 2, mitochondrial",,biogenesis,TAG_synthesis,False,machinery,
GPAT3,ENSG00000138678,Q53EU6,glycerol-3-phosphate acyltransferase 3,,biogenesis,TAG_synthesis,False,machinery,
GPAT4,ENSG00000158669,Q86UL3,glycerol-3-phosphate acyltransferase 4,,biogenesis,TAG_synthesis,False,machinery,
AGPAT1,ENSG00000206324,Q99943,1-acylglycerol-3-phosphate O-acyltransferase 1,,biogenesis,TAG_synthesis,False,machinery,
AGPAT2,ENSG00000169692,O15120,1-acylglycerol-3-phosphate O-acyltransferase 2,,biogenesis,TAG_synthesis,False,machinery,
AGPAT3,ENSG00000160216,Q9NRZ7,1-acylglycerol-3-phosphate O-acyltransferase 3,,biogenesis,TAG_synthesis,False,machinery,
LPIN1,ENSG00000134324,Q14693,lipin 1,,biogenesis,TAG_synthesis,False,machinery,
LPIN2,ENSG00000101577,Q92539,lipin 2,,biogenesis,TAG_synthesis,False,machinery,
LPIN3,ENSG00000132793,Q9BQK8,lipin 3,,biogenesis,TAG_synthesis,False,machinery,
DGAT1,ENSG00000185000,O75907,diacylglycerol O-acyltransferase 1,,biogenesis,TAG_synthesis,False,machinery,
DGAT2,ENSG00000062282,Q96PD7,diacylglycerol O-acyltransferase 2,,biogenesis,TAG_synthesis,False,machinery,
MOGAT1,ENSG00000124003,Q96PD6,monoacylglycerol O-acyltransferase 1,,biogenesis,TAG_synthesis,False,machinery,
MOGAT2,ENSG00000166391,Q3SYC2,monoacylglycerol O-acyltransferase 2,,biogenesis,TAG_synthesis,False,machinery,
BSCL2,ENSG00000168000,Q96G97,"BSCL2 lipid droplet biogenesis associated, seipin",,biogenesis,LD_nucleation_budding,False,machinery,SEIPIN; core LD biogenesis
FITM1,ENSG00000285321,A5D6W6,fat storage inducing transmembrane protein 1,,biogenesis,LD_nucleation_budding,False,machinery,
FITM2,ENSG00000197296,Q8N6M3,fat storage inducing transmembrane protein 2,,biogenesis,LD_nucleation_budding,False,machinery,
LDAF1,ENSG00000011638,Q96B96,lipid droplet assembly factor 1,,biogenesis,LD_nucleation_budding,False,machinery,TMEM159; LD assembly factor complex with SEIPIN/BSCL2
PLIN1,ENSG00000166819,O60240,perilipin 1,,biogenesis,LD_structural_perilipin,False,machinery,
PLIN2,ENSG00000147872,Q99541,perilipin 2,,biogenesis,LD_structural_perilipin,False,machinery,
PLIN3,ENSG00000105355,O60664,perilipin 3,,biogenesis,LD_structural_perilipin,False,machinery,
PLIN4,ENSG00000167676,Q96Q06,perilipin 4,,biogenesis,LD_structural_perilipin,False,machinery,
PLIN5,ENSG00000214456,Q00G26,perilipin 5,,biogenesis,LD_structural_perilipin,False,machinery,
CIDEA,ENSG00000176194,O60543,cell death inducing DFFA like effector a,,biogenesis,LD_expansion_CIDE,False,machinery,
CIDEB,ENSG00000285199,Q9UHD4,cell death inducing DFFA like effector b,,biogenesis,LD_expansion_CIDE,False,machinery,
CIDEC,ENSG00000187288,Q96AQ7,cell death inducing DFFA like effector c,,biogenesis,LD_expansion_CIDE,False,machinery,
ACSL1,ENSG00000151726,P33121,acyl-CoA synthetase long chain family member 1,,biogenesis,FA_activation_LD,False,machinery,
ACSL3,ENSG00000123983,O95573,acyl-CoA synthetase long chain family member 3,,biogenesis,FA_activation_LD,False,machinery,
ACSL4,ENSG00000068366,O60488,acyl-CoA synthetase long chain family member 4,,biogenesis,FA_activation_LD,False,machinery,
SOAT1,ENSG00000057252,P35610,sterol O-acyltransferase 1,,biogenesis,cholesteryl_ester,False,machinery,
SOAT2,ENSG00000167780,O75908,sterol O-acyltransferase 2,,biogenesis,cholesteryl_ester,False,machinery,
