symbol,resolved_systematic_id,resolved_entrez,gene_name,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes
CTSB,ENSG00000164733,1508,cathepsin B,GO:0005764,biogenesis,hydrolase,False,
CTSD,ENSG00000117984,1509,cathepsin D,GO:0005764;GO:0005765;GO:0043202,biogenesis,hydrolase,False,
CTSL,ENSG00000135047,1514,cathepsin L,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
CTSA,ENSG00000064601,5476,cathepsin A,GO:0005764;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
CTSF,ENSG00000174080,8722,cathepsin F,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
CTSK,ENSG00000143387,1513,cathepsin K,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
CTSS,ENSG00000163131,1520,cathepsin S,GO:0005764;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
CTSZ,ENSG00000101160,1522,cathepsin Z,GO:0005764,biogenesis,hydrolase,False,
CTSC,ENSG00000109861,1075,cathepsin C,GO:0005764;GO:0016020,biogenesis,hydrolase,False,
TPP1,ENSG00000166340,1200,tripeptidyl peptidase 1,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
LGMN,ENSG00000100600,5641,legumain,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
GBA1,ENSG00000262446,2629,glucosylceramidase beta 1,GO:0005764;GO:0005765;GO:0043202,biogenesis,hydrolase,False,
GLA,ENSG00000102393,2717,galactosidase alpha,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
GAA,ENSG00000171298,2548,alpha glucosidase,GO:0005764;GO:0005765;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
HEXA,ENSG00000213614,3073,hexosaminidase subunit alpha,GO:0005764;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
HEXB,ENSG00000049860,3074,hexosaminidase subunit beta,GO:0005764;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
MAN2B1,ENSG00000104774,4125,mannosidase alpha class 2B member 1,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
NAGLU,ENSG00000108784,4669,N-acetyl-alpha-glucosaminidase,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
GNS,ENSG00000135677,2799,glucosamine (N-acetyl)-6-sulfatase,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
GUSB,ENSG00000169919,2990,glucuronidase beta,GO:0005764;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
NEU1,ENSG00000234343,4758,neuraminidase 1,GO:0005764;GO:0005765;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
ASAH1,ENSG00000104763,427,N-acylsphingosine amidohydrolase 1,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
GALC,ENSG00000054983,2581,galactosylceramidase,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
SMPD1,ENSG00000166311,6609,sphingomyelin phosphodiesterase 1,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
PSAP,ENSG00000197746,5660,prosaposin,GO:0005764;GO:0005765;GO:0043202,biogenesis,hydrolase,False,
GALNS,ENSG00000141012,2588,galactosamine (N-acetyl)-6-sulfatase,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
ARSA,ENSG00000100299,410,arylsulfatase A,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
ARSB,ENSG00000113273,411,arylsulfatase B,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
SGSH,ENSG00000181523,6448,N-sulfoglucosamine sulfohydrolase,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
IDUA,ENSG00000127415,3425,alpha-L-iduronidase,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
IDS,ENSG00000010404,3423,iduronate 2-sulfatase,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
NPC2,ENSG00000119655,10577,NPC intracellular cholesterol transporter 2,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
GLB1,ENSG00000170266,2720,galactosidase beta 1,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
FUCA1,ENSG00000179163,2517,alpha-L-fucosidase 1,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
MANBA,ENSG00000109323,4126,mannosidase beta,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
HYAL1,ENSG00000114378,3373,hyaluronidase 1,GO:0005764;GO:0043202,biogenesis,hydrolase,False,
DNASE2,ENSG00000105612,1777,"deoxyribonuclease 2, lysosomal",GO:0005764,biogenesis,hydrolase,False,
ACP2,ENSG00000134575,53,"acid phosphatase 2, lysosomal",GO:0005764;GO:0005765;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
PLA2G15,ENSG00000103066,23659,phospholipase A2 group XV,GO:0005764;GO:0016020,biogenesis,hydrolase,False,
PPT1,ENSG00000131238,5538,palmitoyl-protein thioesterase 1,GO:0005764;GO:0005765;GO:0016020;GO:0043202,biogenesis,hydrolase,False,
ATP6V0A1,ENSG00000033627,535,ATPase H+ transporting V0 subunit a1,GO:0005765;GO:0016020,biogenesis,v_ATPase,False,
ATP6V0B,ENSG00000117410,533,ATPase H+ transporting V0 subunit b,GO:0005765;GO:0016020,biogenesis,v_ATPase,False,
ATP6V0C,ENSG00000185883,527,ATPase H+ transporting V0 subunit c,GO:0005765;GO:0016020,biogenesis,v_ATPase,False,
