,mito_dir,ER_dir,lyso_dir,pathway
(5Z)-7-Oxozeaenol,0.08986884775081488,-0.11040795712746788,-0.3352991147295864,"Other, kinases"
(R)-PFI-2,0.13091188158001626,0.019619014556150404,-0.010327352299105868,Chromatin histone acetylation
5-Fluorouracil,-0.16685586640779287,0.09892793616626647,0.20003333025360906,Other
5-azacytidine,-0.31664227880206813,0.11743732318798167,0.08826455955516538,Other
A-1155463,0.2049521995467988,0.13112906775414224,0.1194005368584619,Apoptosis regulation
A-1210477,-0.03914555638689614,-0.07941949769144241,-0.06300414107319961,Apoptosis regulation
A-196,0.005356312580913351,0.1519029502975085,0.10819080772481596,Chromatin histone methylation
A-366,-0.0162048351882565,-0.011304243281621338,-0.020345139568426207,Chromatin histone methylation
A-443654,0.07816505406943654,-0.09353443369379624,-0.16390590020868906,PI3K/MTOR signaling
A-770041,0.1879644794316709,-0.05003024048384774,-0.17760552968847498,"Other, kinases"
A-83-01,0.13028657805910157,0.01755786013099699,-0.10488459010269727,Other
ABT737,0.09912548475521361,0.1675245625876075,0.2294424833058652,Apoptosis regulation
AC220,-0.14721640788798224,0.04026110231687022,0.13577333718202889,RTK signaling
ACY-1215,0.06182073536835565,0.08695321573115261,0.11906020350124433,Chromatin histone acetylation
ACY-738,-0.19946750481455625,0.1995427574490903,0.3626467606542885,Chromatin histone acetylation
AGI-5198,0.022560304657237365,-0.008875071384455967,-0.0354563810609257,Metabolism
AGI-6780,0.11946948235158181,-0.0692965189988814,-0.11348754973892146,Metabolism
AICA Ribonucleotide,0.08500888053338465,0.05378623330513188,0.04666024276570214,Metabolism
AKT inhibitor VIII,0.09655283312749134,-0.09390051477670022,-0.08859866295575283,PI3K/MTOR signaling
AMG-319,-0.015024726994572624,0.0402243431829286,0.04074400186922784,PI3K/MTOR signaling
AMG900,-0.14286940024973452,0.15675693495382023,0.23274949922620272,Mitosis
AR-42,-0.09532652002630569,0.13917176826250685,0.15464014129759462,Chromatin histone acetylation
ARRY-520,-0.05827524958724879,0.11918456258555932,0.23662881263605245,Mitosis
AS601245,0.07249619253800463,-0.1499512219383497,-0.21221802412630922,JNK and p38 signaling
AS605240,0.09631098530997273,-0.02070881577961659,-0.12118896046393375,PI3K/MTOR signaling
ASLAN002,-0.09346889026720777,0.18680398455367972,0.2444067548139597,RTK signaling
AST-1306,0.25994115581856664,-0.11114363791775397,-0.2871984247664829,RTK signaling
AT-7519,-0.010692603521689057,0.028261143241540162,0.09252058827329036,Cell cycle
AT13148,-0.0823845420301255,-0.0157046562317414,0.040555464690452715,PI3K/MTOR signaling
AT7867,0.03799311131778384,0.007683505367328978,0.019935381433258424,PI3K/MTOR signaling
AX15836,0.0606359681341835,0.04576744512443355,0.0933893468337277,ERK MAPK signaling
AZ191,-0.10073632229483657,0.08337942909870653,0.2538951622242464,"Other, kinases"
AZ20,0.05086978025156445,-0.11226082272454584,-0.19601509162636852,Genome integrity
AZ6102,-0.011096619438623523,-0.08688885208273638,-0.1291201649832178,WNT signaling
AZ628,-0.13408104056698997,-0.011081732778552369,-0.07317923940793525,ERK MAPK signaling
AZ960,0.013735245341917866,0.1268803043605502,0.19021071115013172,"Other, kinases"
AZD0156,-0.09405963700488318,-0.08200625112668361,-0.02451015964548815,Genome integrity
AZD1152-HQPA,-0.057351418747874715,0.1272478051558454,0.24017266785053087,Mitosis
AZD1208,0.09176546654824061,-0.0865231337643864,-0.12334499673211181,"Other, kinases"
AZD1332,0.22251181990717317,-0.15148682347211884,-0.28552830111378386,RTK signaling
AZD1390,-0.02377954474322999,-0.019382237262047533,0.008661178509532063,Genome integrity
AZD1480,0.19531803588090746,-0.08999257252220898,-0.15101524010966116,"Other, kinases"
AZD1775,-0.04698007130712653,0.11699071313857413,0.2229334579687722,Cell cycle
AZD2014,0.03302319393088306,-0.17129276171705618,-0.22740121173285047,PI3K/MTOR signaling
AZD3514,0.04612464520903685,-0.13082593954516056,-0.18693691826755612,Hormone-related
AZD3759,0.15502597163405923,-0.0044358658327906565,-0.14421944113425741,EGFR signaling
AZD4205,0.026627699493543683,0.02892826949207569,0.11358939903326966,"Other, kinases"
AZD4547,0.05059890238133207,-0.05563932075909111,-0.021930235427471623,RTK signaling
AZD4877,0.020870601368035757,-0.15323243081475044,-0.12031322928155393,Mitosis
AZD5363,-0.05067381523486357,-0.08169558114913723,-0.029221620703448206,"Other, kinases"
AZD5438,0.1221413749803692,-0.1653603324586974,-0.2801529282750706,Cell cycle
AZD5582,0.1540307609674259,-0.08788122797536324,-0.10421186130300893,Other
AZD5991,-0.1391548177846203,0.06319640248926614,0.17813361019047236,Apoptosis regulation
AZD6094,0.22843461790554997,-0.08828533251170718,-0.25239025551283023,RTK signaling
AZD6482,0.16749795179818341,-0.1906662229353544,-0.32355071434241245,PI3K/MTOR signaling
AZD6738,-0.050641364663233504,0.028086838136483407,0.09052877656128212,Genome integrity
AZD7762,0.027101436036955667,-0.019931195278299712,-0.003965657311090855,Cell cycle
AZD7969,0.016665244585883403,-0.04798870718570458,-0.044958354436346305,WNT signaling
AZD8055,-0.04681888204334408,-0.037836249532845014,-0.1217478229591026,PI3K/MTOR signaling
AZD8186,0.16218109225302452,-0.15227285959272738,-0.28797228676776565,PI3K/MTOR signaling
AZD8835,0.039575332884637125,-0.017815388531236855,-0.05659800728688727,PI3K/MTOR signaling
AZD8931,0.18542091198078278,-0.08303879344864849,-0.22586205389912267,RTK signaling
Abemaciclib,-0.23818634331531388,0.12683568301108156,0.27858355218447023,Cell cycle
Afatinib,0.19913196447255377,0.0339264074581702,-0.1141535636214293,EGFR signaling
Afuresertib,-0.0802855025476359,-0.09149525364750151,-0.03558100366573334,PI3K/MTOR signaling
Alectinib,0.17532157599654022,-0.016638939842801646,-0.10124830320618386,RTK signaling
Alisertib,-0.07849044193528475,0.2188514980783276,0.3223798380630387,Mitosis
Alpelisib,-0.004987798054769205,0.016282907632747694,0.046315842104974775,PI3K/MTOR signaling
Amuvatinib,-0.11747364131238575,0.04231556871967273,0.042612994407712775,RTK signaling
Anastrozole,-0.005975026826651059,-0.006062823139205932,0.15333625987708518,Hormone-related
Apitolisib,0.1102302535709823,-0.04305509057271743,-0.10988465138750492,PI3K/MTOR signaling
Ara-G,0.1658482147024209,0.026935643956350588,0.0065903524686023104,Other
Avagacestat,0.1674140722094929,-0.05121238789608572,-0.18578568740880794,Other
Axitinib,-0.06059992363547617,0.10310321809373232,0.23960089081778707,RTK signaling
BAM7,0.2063403190331305,-0.0681276729675738,-0.18860569715142433,Other
BAY-598,-0.04667693645687015,0.10844219884546262,0.1243696549898949,Chromatin histone methylation
BAY-61-3606,-0.07652992125619251,0.007358756121610153,0.1153200618918914,"Other, kinases"
BAY-87-2243,-0.016262048155213905,0.09595880247883391,0.24111273207895362,Other
BAZ2-ICR,-0.02504913136439138,0.060439272442674614,0.09075863666297353,Chromatin other
BCL6_7224,-0.19687951170122137,0.09635237076239643,0.26212313213465266,Apoptosis regulation
BCLXL_3202,0.13959220414192616,0.14519495381373648,0.020322362773317178,Apoptosis regulation
BDP-00009066,-0.10217361451597526,0.010880011991301647,0.06306901936713881,Cytoskeleton
BI-2536,-0.15393232799380377,0.11218610057305908,0.2555320861311985,Cell cycle
BI-7273,-0.11526249405199494,0.05955203254375205,0.1751704167341139,Chromatin other
BI-9564,-0.1720272311562571,0.090999766595014,0.2231203199098305,Chromatin other
BIBF-1120,0.07871192101065516,0.004095004560434617,-0.012905194911447088,RTK signaling
BIBR-1532,-0.0022888112245789743,0.032986019152580204,-0.02685694080843867,Genome integrity
BIX-02188,-0.06031188261708993,0.14531813726526013,0.19626567061503652,ERK MAPK signaling
BIX02189,0.003795813874626808,0.06952556478158828,0.08599842901842757,ERK MAPK signaling
BLU9931,-0.0589391353557558,0.02192063066824398,0.09574880795485499,RTK signaling
BMS-345541,-0.02482332359334812,0.0643892283500666,0.06771799370278578,"Other, kinases"
BMS-509744,0.09937089736292923,-0.1167543160690571,-0.17470157465376587,"Other, kinases"
BMS-536924,0.10673089064825851,-0.07098252907858628,-0.18361351543432225,IGF1R signaling
BMS-754807,0.05202285026115556,0.014869688160348761,0.011006200996413721,RTK signaling
BMS-911543,0.11685486672739309,-0.06866041492713763,-0.05994095593992578,"Other, kinases"
BMX-IN-1,-0.039769527664803954,0.10684961683799782,0.184140205444291,"Other, kinases"
BPD-00008900,-0.04681691019000723,-0.009415060968600562,0.05317159700912233,Other
BPTES,0.16008900673623408,-0.12614502218831594,-0.24297566243952623,Other
BVD523,-0.11595863989021522,-0.0035747390143315975,-0.10369321955475766,ERK MAPK signaling
BX-912,-0.04340523706756207,0.13126146988535797,0.2742229036533178,Metabolism
BX795,0.09955233207242985,-0.04290584440129515,-0.06570371532210784,"Other, kinases"
Barasertib,-0.07314937740340596,0.34250824024903864,0.5148782274308734,Mitosis
Belinostat,-0.047602857160495955,0.1345899704838041,0.17872221423977952,Chromatin histone acetylation
Bexarotene,0.04906280127181993,-0.10575763049479203,-0.24434213116188205,Other
Bicalutamide,0.18895269015680538,-0.13701804727729028,-0.208974435660268,Hormone-related
Bleomycin,0.019452340166760746,-0.04949499501380211,-0.06937211884799477,DNA replication
Bleomycin (10 uM),0.18440826181354544,-0.17079329301004048,-0.2636755569860803,DNA replication
Bleomycin (50 uM),0.11403707327385912,-0.12889361216179746,-0.17742566221781125,DNA replication
Bortezomib,0.06444892324976081,-0.11214245551295064,-0.20561754350118155,Protein stability and degradation
Bosutinib,0.01421470394778302,-0.0016333994843161686,-0.05201836432358305,"Other, kinases"
