,dir,dep,lineage
ACH-001289,0.8699930760398966,-0.4374769075129284,CNS/Brain
ACH-001538,0.8517883339746729,-0.3051047997411665,Biliary Tract
ACH-000242,0.8624784136284626,-0.46583914983856495,Bladder/Urinary Tract
ACH-000233,0.846884751531526,-0.5031313524286141,Lymphoid
ACH-000461,0.8618484776389986,-0.5967342599112151,Biliary Tract
ACH-001794,0.8414827443991567,-0.21017614399126527,Soft Tissue
ACH-002023,0.8294395735392985,-0.41453442144834907,Ampulla of Vater
ACH-000528,0.8595569167724929,-0.6000229837951447,Lung
ACH-001655,0.8743332628173297,-0.33029187861989784,Uterus
ACH-000167,0.891718491744292,-0.47549788169613744,Lymphoid
ACH-000792,0.8519907797709885,-0.3125028115440913,Kidney
ACH-001098,0.8340113959720508,-0.39352831834234814,Pancreas
ACH-000570,0.8559094398748538,-0.40814524138697295,CNS/Brain
ACH-002040,0.8965957091535004,-0.3577004115986621,Vulva/Vagina
ACH-000769,0.8791527282474347,-0.5078510757356143,Lung
ACH-000421,0.8376438071360105,-0.3296394210770342,Bowel
ACH-000765,0.862834655456087,-0.39229750186218054,Skin
ACH-001375,0.8636632708084458,-0.29313087243651376,Pancreas
ACH-001814,0.8546684000630251,-0.28907417982051103,Bone
ACH-000800,0.8714820727185302,-0.44640141897045527,Lung
ACH-000606,0.8613616661194877,-0.5170142047657218,Head and Neck
ACH-000317,0.8510008355204801,-0.5081462714433909,Kidney
ACH-000123,0.8862449223769457,-0.5776827873143887,Ovary/Fallopian Tube
ACH-002066,0.8622979386937635,-0.3778087634853017,Peripheral Nervous System
ACH-001536,0.8733386105250469,-0.36003200864085444,Biliary Tract
ACH-000313,0.8236634340205611,-0.23061059891040403,Kidney
ACH-002019,0.8470307008265439,-0.328806905345186,Cervix
ACH-000700,0.8739996195902247,-0.37457550001811385,Lung
ACH-000823,0.8674240545781311,-0.5193187385103284,Esophagus/Stomach
ACH-002029,0.8715448466088604,-0.5787600557688032,Head and Neck
ACH-001377,0.8693621984420775,-0.46736471014877284,Pancreas
ACH-000754,0.8760689608849613,-0.45923649770517844,Lymphoid
ACH-000138,0.833982206113047,-0.47996093057528905,Pancreas
ACH-001864,0.8530507169092144,-0.4068139670787052,Biliary Tract
