,0
ARV-825,-0.14725345274949544
docusate,0.00098348658166281
W-54011,-0.03234723066290625
ibotenic-acid,0.018585464552389897
Oxamniquine,-0.03824832081774944
MRS-1334,-0.05746834337075734
polymyxin-B-sulfate,0.02953764517942988
P7C3,0.012272696759458043
TC-A-2317,-0.08492520488909164
tetrazol-5-yl-glycine-(RS),-0.004648048810157134
wiskostatin,-0.018978781694766935
4BP-TQS,-0.011254930022913204
propylene-glycol,0.025999852474279272
dihydroxyphenylglycine,-0.014408518511058828
DMPS,-0.020374395859696286
casin,-0.08081744356294944
GGsTop,-0.03903571937014307
tenofovir-alafenamide,-0.07090943902973397
ML141,0.011306350826469093
RP-001,-0.06113678828197102
A12B4C3,0.021940829440810813
mitotane,0.022738168219203048
RU-SKI-43,0.004091859257656059
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,0.037562806708914535
octodrine,0.032075656583734326
BQU57,-0.019750669869140786
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",-0.026527805215679785
beta-hydroxybutyrate,0.054347806724832096
UBP-296,0.05730348740972392
2-Ethylhexyl 4-(dimethylamino)benzoate,0.009202341276260536
LY404187,-0.05611281242934675
ATB-346,0.06115000804986017
BW-B70C,0.018547010875914854
zileuton,-0.016104248583703167
ITD-1,-0.034956430627915994
allicin,0.03414299708838751
seratrodast,0.010455139920760024
RBC8,-0.042118616869688374
sodium-ascorbate,-0.060879125997296085
DQP-1105,0.04853131660699347
azapropazone,0.0976884465273096
OXF-BD-02,-0.150262302857167
antimonyl,-0.07165294460759984
NKY-80,0.007810558804785796
CIM-0216,-0.01977227344420353
D609,-0.0723267914631148
CCG-1423,0.0270994050172088
nisoldipine,0.0050684757019939805
SR-3677,-0.010959135543923327
3-MATIDA,0.03933445189313217
avadomide,0.006087659806248571
GPi-688,0.009576388289264146
CaCCinh-A01,-0.009930141930664294
trofosfamide,-0.03757093337551261
mandelic-acid,0.028285904336517696
ISO-1,-0.01605076379093394
cicloprofen,0.04790846527888404
fumagillin,-0.034947743838850465
PF-05175157,-0.019331458128505546
caspofungin,0.008025550459844306
SD-0006,0.021867704171355935
JNJ-38877618,0.1156129603550053
GLPG1837,0.01379275964727016
FN-1501,0.036711826203431795
PF-05180999,0.04831705350463577
IDF-11774,-0.09888148968724896
PLX51107,-0.16741037309863496
AZD7594,-0.05544406613888791
GDC-0927,-0.06536630826009371
INCB-057643,-0.17591311085542452
desisobutyryl-ciclesonide,-0.08847750397366975
IACS-10759,-0.15074273433914923
AZD4573,0.05047771859292518
LXH254,-0.1023686447531653
ABBV-744,-0.15995813806811898
AB-423,0.0026303017353035457
BMS-986195,-0.04217594252022626
BOS-172722,-0.16741063552071322
GDC-0575,-0.03609603017426786
O-304,-0.03465628447244334
C188-9,-0.1182527545303111
ETC-206,0.013436480955403136
CC-90003,-0.06620435769144566
ceftobiprole,0.0319800213185362
retagliptin,-0.04893778125906303
pradefovir,-0.02929538916400149
BI-409306,-0.04380690478547427
GSK369796,-0.036434002663918906
prinomastat,-0.017464180257291184
resmetirom,-0.05569255269986191
trodusquemine,-0.006118859401982885
sulfatinib,0.054842350411576674
G-749,-0.13670863687027757
pimodivir,0.02473244836192949
beclabuvir,0.020326209736710614
crenigacestat,0.041570679570340316
epetraborole,0.036740692632037296
LY2510924,0.008892889460794603
LGD-6972,-0.06789670862492556
velpatasvir,-0.04566675339716352
deslorelin,0.01333475167942099
alisporivir,-0.05721469440757485
mitapivat,0.01089000045150171
