,0
ARV-825,-0.13334598750692642
docusate,0.07338890256968511
W-54011,0.044011821793357594
ibotenic-acid,0.07733976803128004
Oxamniquine,0.03075059757165298
MRS-1334,0.02520048375060587
polymyxin-B-sulfate,0.09189646026971567
P7C3,0.07246050134297743
TC-A-2317,-0.06475315454978646
tetrazol-5-yl-glycine-(RS),0.05939199093331394
wiskostatin,0.05554177098846428
4BP-TQS,0.06758738538698766
propylene-glycol,0.10360641799663999
dihydroxyphenylglycine,0.05100746213086229
DMPS,0.056488605549659586
casin,-0.013203046311828052
GGsTop,0.049106593538215795
tenofovir-alafenamide,-0.01795766425481263
ML141,0.07576463979225362
RP-001,-0.0027404647139378326
A12B4C3,0.08004113185556132
mitotane,0.08948776643348125
RU-SKI-43,0.06679323360903798
1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,0.1068250874366611
octodrine,0.0839999096105863
BQU57,0.042619179354169465
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",0.05146679550330561
beta-hydroxybutyrate,0.13433726206631308
UBP-296,0.06928029621335115
2-Ethylhexyl 4-(dimethylamino)benzoate,0.08071345854429227
LY404187,0.01190228512566932
ATB-346,0.11892912946289508
BW-B70C,0.08114116006013593
zileuton,0.06168169725172498
ITD-1,0.028123113544391176
allicin,0.0897913463212672
seratrodast,0.0739564144708601
RBC8,0.02882830501186037
sodium-ascorbate,0.017327802217945255
DQP-1105,0.11002860948119476
azapropazone,0.14963637190636098
OXF-BD-02,-0.11477528193417777
antimonyl,-0.04678690169321414
NKY-80,0.0635825077568686
CIM-0216,0.04572093701730082
D609,0.005460089495249186
CCG-1423,0.08167396727150568
nisoldipine,0.06093598596017278
SR-3677,0.047312084511873576
3-MATIDA,0.11229274081563664
avadomide,0.04658453845991989
GPi-688,0.08037160445228088
CaCCinh-A01,0.06391211893616497
trofosfamide,0.03673690736432467
mandelic-acid,0.10603514821480735
ISO-1,0.0641452968076317
cicloprofen,0.10428494884073425
fumagillin,0.011641517555397775
PF-05175157,0.043862683050654314
caspofungin,0.0767536024382828
SD-0006,0.07750457814544678
JNJ-38877618,0.16751097124496958
GLPG1837,0.06239873986003918
FN-1501,0.048835499991812886
PF-05180999,0.10768963244887726
IDF-11774,-0.03457175605737685
PLX51107,-0.14790684752814395
AZD7594,-0.0056149366194803265
GDC-0927,0.012685700438619048
INCB-057643,-0.16166115781643456
desisobutyryl-ciclesonide,-0.0432131522108818
IACS-10759,-0.1226883572811804
AZD4573,0.06484579626322819
LXH254,-0.06991905079726338
ABBV-744,-0.143899617148358
AB-423,0.07609696421588562
BMS-986195,0.027285073162076415
BOS-172722,-0.14820435272352422
GDC-0575,-0.02556536698920014
O-304,0.04852591304436209
C188-9,-0.0849047178689152
ETC-206,0.08706012613299091
CC-90003,-0.040422239114663194
ceftobiprole,0.1161393157006781
retagliptin,0.024658952081950215
pradefovir,0.04575892688988315
BI-409306,0.035572796746422296
GSK369796,0.013943543753807297
prinomastat,0.03665497110282729
resmetirom,0.007480051770808575
trodusquemine,0.0428740485915832
sulfatinib,0.10366710014721922
G-749,-0.1250815018500598
pimodivir,0.09229243326433488
beclabuvir,0.09172466047548736
crenigacestat,0.09662179126966901
epetraborole,0.08842109227588711
LY2510924,0.07772085588279379
LGD-6972,0.014307767500318718
velpatasvir,0.03639893764484483
deslorelin,0.08916929381707477
alisporivir,-0.007613038703309819
mitapivat,0.06556745025853981
lotamilast,0.04864881981489514
asivatrep,0.023866084493240052
etrasimod,0.07517923801216017
hPGDS-IN-1,0.05983097602068942
vixotrigine,0.06729976174020838
dasotraline,-0.028259690662555074
BAY1217389,-0.16876371090318806
atuveciclib,0.0013935969709687297
PF-05089771,0.020924930232715126
MIW-815,0.04885297368260825
S49076,0.06788312602011776
batefenterol,0.0784590882649633
Ro-5028442,0.0627467511655164
segesterone-acetate,0.05523649027500653
olodanrigan,0.040248099443163425
AM211,0.1284891592246579
imisopasem-manganese,-0.02116009661095957
TAK-779,0.0621392496698538
eribulin,-0.18139936111716226
Debio-0932,-0.027698930877522374
abarelix,0.058932599625638876
banoxantrone,-0.1761693343431878
belotecan,-0.0038110563027518992
buserelin,0.06040806026879559
crolibulin,-0.17247758959565956
