module,arm,symbol,ensembl,uniprot,gene_name,submodule,role,shared_with_bulk_autophagy,resolver,notes
lipid_droplet,biogenesis,GPAM,ENSG00000119927,Q9HCL2,"glycerol-3-phosphate acyltransferase, mitochondrial",TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,GPAT2,ENSG00000186281,Q6NUI2,"glycerol-3-phosphate acyltransferase 2, mitochondrial",TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,GPAT3,ENSG00000138678,Q53EU6,glycerol-3-phosphate acyltransferase 3,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,GPAT4,ENSG00000158669,Q86UL3,glycerol-3-phosphate acyltransferase 4,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,AGPAT1,ENSG00000206324,Q99943,1-acylglycerol-3-phosphate O-acyltransferase 1,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,AGPAT2,ENSG00000169692,O15120,1-acylglycerol-3-phosphate O-acyltransferase 2,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,AGPAT3,ENSG00000160216,Q9NRZ7,1-acylglycerol-3-phosphate O-acyltransferase 3,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,LPIN1,ENSG00000134324,Q14693,lipin 1,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,LPIN2,ENSG00000101577,Q92539,lipin 2,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,LPIN3,ENSG00000132793,Q9BQK8,lipin 3,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,DGAT1,ENSG00000185000,O75907,diacylglycerol O-acyltransferase 1,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,DGAT2,ENSG00000062282,Q96PD7,diacylglycerol O-acyltransferase 2,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,MOGAT1,ENSG00000124003,Q96PD6,monoacylglycerol O-acyltransferase 1,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,MOGAT2,ENSG00000166391,Q3SYC2,monoacylglycerol O-acyltransferase 2,TAG_synthesis,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,BSCL2,ENSG00000168000,Q96G97,"BSCL2 lipid droplet biogenesis associated, seipin",LD_nucleation_budding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",SEIPIN; core LD biogenesis
lipid_droplet,biogenesis,FITM1,ENSG00000285321,A5D6W6,fat storage inducing transmembrane protein 1,LD_nucleation_budding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,FITM2,ENSG00000197296,Q8N6M3,fat storage inducing transmembrane protein 2,LD_nucleation_budding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,LDAF1,ENSG00000011638,Q96B96,lipid droplet assembly factor 1,LD_nucleation_budding,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",TMEM159; LD assembly factor complex with SEIPIN/BSCL2
lipid_droplet,biogenesis,PLIN1,ENSG00000166819,O60240,perilipin 1,LD_structural_perilipin,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,PLIN2,ENSG00000147872,Q99541,perilipin 2,LD_structural_perilipin,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,PLIN3,ENSG00000105355,O60664,perilipin 3,LD_structural_perilipin,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,PLIN4,ENSG00000167676,Q96Q06,perilipin 4,LD_structural_perilipin,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,PLIN5,ENSG00000214456,Q00G26,perilipin 5,LD_structural_perilipin,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,CIDEA,ENSG00000176194,O60543,cell death inducing DFFA like effector a,LD_expansion_CIDE,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,CIDEB,ENSG00000285199,Q9UHD4,cell death inducing DFFA like effector b,LD_expansion_CIDE,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,CIDEC,ENSG00000187288,Q96AQ7,cell death inducing DFFA like effector c,LD_expansion_CIDE,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,ACSL1,ENSG00000151726,P33121,acyl-CoA synthetase long chain family member 1,FA_activation_LD,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,ACSL3,ENSG00000123983,O95573,acyl-CoA synthetase long chain family member 3,FA_activation_LD,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,ACSL4,ENSG00000068366,O60488,acyl-CoA synthetase long chain family member 4,FA_activation_LD,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,SOAT1,ENSG00000057252,P35610,sterol O-acyltransferase 1,cholesteryl_ester,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,SOAT2,ENSG00000167780,O75908,sterol O-acyltransferase 2,cholesteryl_ester,machinery,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",
lipid_droplet,biogenesis,PPARG,ENSG00000132170,P37231,peroxisome proliferator activated receptor gamma,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
lipid_droplet,biogenesis,CEBPA,ENSG00000245848,P49715,CCAAT enhancer binding protein alpha,regulator_lipogenic_TF,regulator,False,"MyGene.info via genes-ontologies.query_genes (scopes=symbol,alias; species=human)",lipogenic/adipogenic TF; EXCLUDED from primary score (circular vs adipogenesis PC)
