symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
ATG11_0790,AT4G30790,Q9SUG7,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,scaffold,True,YPR049C,ATG11,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,selective-autophagy scaffold; shared across selective autophagy pathways
ATG13_9590,AT3G49590,,GO:0000045;GO:0006914;GO:0016236;GO:0034727,erphagy,core_autophagy_shared,True,YPR185W,ATG13,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YPR185W,core autophagy machinery; shared with bulk macroautophagy
ATG8_2040,AT1G62040,Q8S927,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,core autophagy machinery; shared with bulk macroautophagy
ATG8_5630,AT2G05630,,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,core autophagy machinery; shared with bulk macroautophagy
ATG8_5170,AT2G45170,Q8S926,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,core autophagy machinery; shared with bulk macroautophagy
ATG8_6420,AT3G06420,Q8S925,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YBL078C,ATG8,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,core autophagy machinery; shared with bulk macroautophagy
ATG8_0640,AT3G60640,,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,core autophagy machinery; shared with bulk macroautophagy
ATG8_4620,AT4G04620,Q9XEB5,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YBL078C,ATG8,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,core autophagy machinery; shared with bulk macroautophagy
ATG8_6520,AT4G16520,Q8VYK7,GO:0000045;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,core autophagy machinery; shared with bulk macroautophagy
ATG9_1260,AT2G31260,Q8RUS5,GO:0000045;GO:0005789;GO:0006914;GO:0034727;GO:0061709,erphagy,core_autophagy_shared,True,YDL149W,ATG9,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YDL149W,core autophagy machinery; shared with bulk macroautophagy
ATG7_5900,AT5G45900,Q94CD5,GO:0000045;GO:0006914;GO:0016236;GO:0034727,erphagy,core_autophagy_shared,True,YHR171W,ATG7,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YHR171W,core autophagy machinery; shared with bulk macroautophagy
ATG5_7290,AT5G17290,Q9FFI2,GO:0000045;GO:0006914;GO:0016236;GO:0034727,erphagy,core_autophagy_shared,True,YPL149W,ATG5,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YPL149W,core autophagy machinery; shared with bulk macroautophagy
ATG12_4210,AT1G54210,Q8S924,GO:0000045;GO:0006914;GO:0016236;GO:0034727,erphagy,core_autophagy_shared,True,YBR217W,ATG12,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBR217W,core autophagy machinery; shared with bulk macroautophagy
ATG12_3970,AT3G13970,Q9LVK3,GO:0000045;GO:0006914;GO:0016236;GO:0034727,erphagy,core_autophagy_shared,True,YBR217W,ATG12,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBR217W,core autophagy machinery; shared with bulk macroautophagy
