symbol,resolved_systematic_id,resolved_ensembl_id,entrez_id,gene_name,go_cc_terms,module,submodule,shared_with_bulk_autophagy,notes
RETREG1,ENSG00000154153,ENSG00000154153,54463,reticulophagy regulator 1,GO:0005783;GO:0005789;GO:0005794;GO:0005801,degradation,receptor_selective,False,ER-phagy receptor FAM134B (reticulophagy of ER sheets; Khaminets 2015 Nature PMID 26040720); GENUINE selective receptor; GO:0061709
TEX264,ENSG00000164081,ENSG00000164081,51368,"testis expressed 264, ER-phagy receptor",GO:0000421;GO:0005576;GO:0005634;GO:0005657;GO:0005694;GO:0005776;GO:0005783;GO:0005789;GO:0005829;GO:0031093,degradation,receptor_selective,False,ER-phagy receptor (An 2019 Mol Cell PMID 31006538); GENUINE selective receptor; GO:0061709
CCPG1,ENSG00000260916,ENSG00000260916,9236,cell cycle progression 1,GO:0016020,degradation,receptor_selective,False,ER-phagy receptor (Smith 2018 Dev Cell PMID 29290584); UPR/ATF4-transcriptionally induced (strong under tunicamycin); GENUINE selective receptor
RTN3,ENSG00000133318,ENSG00000133318,10313,reticulon 3,GO:0000139;GO:0005576;GO:0005783;GO:0005789;GO:0005794;GO:0005886;GO:0014069;GO:0043005;GO:0045202,degradation,receptor_selective,False,ER-phagy receptor for ER tubules (Grumati 2017 eLife PMID 28577634); GENUINE selective receptor
ATL3,ENSG00000184743,ENSG00000184743,25923,atlastin GTPase 3,GO:0005783;GO:0005789;GO:0016020;GO:0071782;GO:0098826,degradation,receptor_selective,False,"ER-phagy receptor atlastin-3, ER tubules (Chen 2019 Curr Biol PMID 30871943); GENUINE selective receptor"
RETREG2,ENSG00000144567,ENSG00000144567,79137,reticulophagy regulator family member 2,GO:0005783;GO:0005789;GO:0016020,degradation,receptor_selective,False,FAM134A/RETREG2 ER-phagy receptor paralog; GENUINE selective receptor
RETREG3,ENSG00000141699,ENSG00000141699,162427,reticulophagy regulator family member 3,GO:0005783;GO:0005789;GO:0032991;GO:0071782,degradation,receptor_selective,False,FAM134C/RETREG3 ER-phagy receptor paralog; GENUINE selective receptor
MAP1LC3B,ENSG00000140941,ENSG00000140941,81631,microtubule associated protein 1 light chain 3 beta,GO:0000421;GO:0005739;GO:0005776;GO:0005829;GO:0005856;GO:0005930;GO:0012505;GO:0016020;GO:0031090;GO:0031410;GO:0031966;GO:0070062,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
MAP1LC3A,ENSG00000101460,ENSG00000101460,84557,microtubule associated protein 1 light chain 3 alpha,GO:0000421;GO:0005737;GO:0005770;GO:0005776;GO:0005829;GO:0005856;GO:0012505;GO:0016020;GO:0031090;GO:0044754;GO:0045202;GO:0098978,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
GABARAP,ENSG00000170296,ENSG00000170296,11337,GABA type A receptor-associated protein,GO:0000139;GO:0000421;GO:0005764;GO:0005776;GO:0005790;GO:0005794;GO:0005829;GO:0005856;GO:0005875;GO:0005886;GO:0005930;GO:0012505;GO:0015629;GO:0031410;GO:0097225;GO:0098982,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
GABARAPL1,ENSG00000139112,ENSG00000139112,23710,GABA type A receptor associated protein like 1,GO:0000421;GO:0005739;GO:0005776;GO:0005783;GO:0005794;GO:0005829;GO:0005856;GO:0030659,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
GABARAPL2,ENSG00000034713,ENSG00000034713,11345,GABA type A receptor associated protein like 2,GO:0000139;GO:0000421;GO:0005737;GO:0005776;GO:0005789;GO:0005794;GO:0005829,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
ULK1,ENSG00000177169,ENSG00000177169,8408,unc-51 like autophagy activating kinase 1,GO:0000407;GO:0000421;GO:0005737;GO:0005741;GO:0005776;GO:0005789;GO:0005829;GO:0034045;GO:0035032;GO:0055037;GO:1903349;GO:1990316,degradation,core_autophagy_shared,True,core autophagy machinery; shared with bulk macroautophagy
