symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
SEC61 BETA,AT2G45070,,GO:0005789;GO:0006616;GO:0031204,biogenesis,translocon_SEC61,False,YER087C-B,SBH1,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,Sec61 beta subunit (mygene name field mislabels as Arf-GEF; systematic ID YER087C-B correct; GO:0006616/0031204 confirm translocon)
DAD2,AT2G35520,O22622,GO:0005789;GO:0006487;GO:0008250,biogenesis,OST,False,YOR103C,OST2,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YOR103C,"oligosaccharyltransferase subunit (N-linked glycosylation, ER lumen)"
DAD1,AT2G44810,Q948R1,GO:0005789;GO:0006487;GO:0008250,biogenesis,OST,False,YOR103C,OST2,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,"oligosaccharyltransferase subunit (N-linked glycosylation, ER lumen)"
OST3-like,AT1G61790,Q9SYB5,GO:0005789;GO:0006487;GO:0008250,biogenesis,OST,False,YOR085W,OST3,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_many2many->YOR085W,"oligosaccharyltransferase subunit (N-linked glycosylation, ER lumen)"
STT3B,AT1G34130,Q9FX21,GO:0005789;GO:0006487;GO:0008250,biogenesis,OST,False,YGL022W,STT3,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YGL022W,"oligosaccharyltransferase subunit (N-linked glycosylation, ER lumen)"
STT3A,AT5G19690,Q93ZY3,GO:0005789;GO:0006487;GO:0008250,biogenesis,OST,False,YGL022W,STT3,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,"oligosaccharyltransferase subunit (N-linked glycosylation, ER lumen)"
DGL1,AT5G66680,Q944K2,GO:0005789;GO:0006487;GO:0008250,biogenesis,OST,False,YEL002C,WBP1,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YEL002C,"oligosaccharyltransferase subunit (N-linked glycosylation, ER lumen)"
HAP6,AT4G21150,Q93Z16,GO:0005789;GO:0006487;GO:0008250,biogenesis,OST,False,YMR149W,SWP1,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,"oligosaccharyltransferase subunit (N-linked glycosylation, ER lumen)"
BIP3,AT1G09080,Q8H1B3,GO:0005789;GO:0006616;GO:0006986;GO:0030968;GO:0031204,biogenesis,ER_chaperone_folding,False,YJL034W,KAR2,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YJL034W,BiP/Kar2 Hsp70 ER lumenal chaperone
BIP1,AT5G28540,Q9LKR3,GO:0005789;GO:0006616;GO:0006986;GO:0030968;GO:0031204,biogenesis,ER_chaperone_folding,False,YJL034W,KAR2,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YJL034W,BiP/Kar2 Hsp70 ER lumenal chaperone
BIP2,AT5G42020,Q39043,GO:0005789;GO:0006616;GO:0006986;GO:0030968;GO:0031204,biogenesis,ER_chaperone_folding,False,YJL034W,KAR2,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YJL034W,BiP/Kar2 Hsp70 ER lumenal chaperone
PDIL1-1,AT1G21750,Q9XI01,GO:0006457,biogenesis,ER_chaperone_folding,False,YCL043C,PDI1,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_many2many->YCL043C,protein disulfide isomerase
PDIL1-2,AT1G77510,Q9SRG3,GO:0006457,biogenesis,ER_chaperone_folding,False,YCL043C,PDI1,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_many2many->YCL043C,protein disulfide isomerase
IRE1A,AT2G17520,Q9C5S2,GO:0005789;GO:0030968;GO:0036498,biogenesis,UPR_sensor_machinery,False,YHR079C,IRE1,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YHR079C,IRE1 ER-membrane sensor kinase/endoribonuclease — conserved UPR MACHINERY (splices HAC1 mRNA); retained. HAC1 effector TF dropped (see provenance).
