symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence
protein transport protein Sec61 subunit beta,Os01g0565900,,,biogenesis,translocon_SEC61,False,rice ortholog of Sc SBH1; two-hop yeast->At(AT3G60540)->Os ortholog_many2many,YER087C-B,SBH1,panther_O+ensembl_compara_AtOs,low
protein transport protein Sec61 subunit beta,Os12g0173366,,,biogenesis,translocon_SEC61,False,rice ortholog of Sc SBH1; two-hop yeast->At(AT3G60540)->Os ortholog_many2many,YER087C-B,SBH1,panther_O+ensembl_compara_AtOs,low
protein transport protein Sec61 subunit gamma-like,Os02g0178400,,,biogenesis,translocon_SEC61,False,"Sec61 gamma family; reciprocal returned AT3G48570, NOT expected AT4G24920 (family-level only, RBH unconfirmed)",YDR086C,SSS1,mygene_rice_named+reciprocal,low
protein transport protein Sec61 subunit gamma-like,Os06g0653900,,,biogenesis,translocon_SEC61,False,"Sec61 gamma family; reciprocal returned AT3G48570, NOT expected AT4G24920 (family-level only, RBH unconfirmed)",YDR086C,SSS1,mygene_rice_named+reciprocal,low
uncharacterized LOC4329219,Os02g0435000,,,biogenesis,translocon_SEC62_63,False,rice ortholog of Sc SEC62; two-hop yeast->At(AT3G20920)->Os ortholog_one2one,YPL094C,SEC62,panther_LDO+ensembl_compara_AtOs,high
dnaJ protein ERDJ2-like,Os04g0307200,,,biogenesis,translocon_SEC62_63,False,rice ortholog of Sc SEC63; two-hop yeast->At(AT1G79940)->Os ortholog_one2many,YOR254C,SEC63,panther_LDO+ensembl_compara_AtOs,medium
signal recognition particle subunit SRP54 2,Os01g0772800,Q8S1I8,,biogenesis,SRP,False,"SRP54 subunit; RAP-DB named, reciprocal-unverified (name-match only)",YPR088C,SRP54,mygene_rice_named+reciprocal,low
signal recognition particle 19 kDa protein-like,Os06g0342100,,,biogenesis,SRP,False,rice ortholog of Sc SEC65; two-hop yeast->At(AT1G48160)->Os ortholog_one2one,YML105C,SEC65,panther_LDO+ensembl_compara_AtOs,high
Os08g0323000,Os08g0323000,,,biogenesis,SRP,False,rice ortholog of Sc SRP68; two-hop yeast->At(AT5G61970)->Os ortholog_one2one,YPL243W,SRP68,panther_LDO+ensembl_compara_AtOs,high
uncharacterized LOC4324904,Os01g0889000,,,biogenesis,SRP,False,rice ortholog of Sc SRP72; two-hop yeast->At(AT1G67680)->Os ortholog_one2many,YPL210C,SRP72,panther_LDO+ensembl_compara_AtOs,medium
uncharacterized LOC4345847,Os08g0480100,,,biogenesis,SRP_receptor,False,rice ortholog of Sc SRP101; two-hop yeast->At(AT4G30600)->Os ortholog_one2one,YDR292C,SRP101,panther_LDO+ensembl_compara_AtOs,high
Os06g0473100,Os06g0473100,,,biogenesis,SRP_receptor,False,rice ortholog of Sc SRP102; two-hop yeast->At(AT5G05670)->Os ortholog_many2many,YKL154W,SRP102,panther_LDO+ensembl_compara_AtOs,low
uncharacterized LOC4346082,Os08g0524000,,,biogenesis,SRP_receptor,False,rice ortholog of Sc SRP102; two-hop yeast->At(AT5G05670)->Os ortholog_many2many,YKL154W,SRP102,panther_LDO+ensembl_compara_AtOs,low
dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1A-like,Os05g0301500,,,biogenesis,OST,False,rice ortholog of Sc OST1; two-hop yeast->At(AT1G76400)->Os ortholog_one2one,YJL002C,OST1,panther_LDO+ensembl_compara_AtOs,high
dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1-like,Os04g0397000,,,biogenesis,OST,False,rice ortholog of Sc OST2; two-hop yeast->At(AT1G32210)->Os ortholog_one2many,YOR103C,OST2,panther_LDO+ensembl_compara_AtOs,medium
probable dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3,Os03g0565100,,,biogenesis,OST,False,rice ortholog of Sc OST3; two-hop yeast->At(AT1G61790)->Os ortholog_one2many,YOR085W,OST3,panther_LDO+ensembl_compara_AtOs,medium
dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B-like,Os04g0675500,,,biogenesis,OST,False,rice ortholog of Sc STT3; two-hop yeast->At(AT1G34130)->Os ortholog_one2one,YGL022W,STT3,panther_LDO+ensembl_compara_AtOs,high
