symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
Os-ALB3,Os01g0151200,,GO:0010207,biogenesis,thylakoid_assembly,False,AT2G28800,ALB3,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT2G28800,entrez:4324524; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-TOC159,Os01g0356800,,GO:0045037,biogenesis,import,False,AT4G02510,TOC159,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT4G02510,entrez:4326289; chloroplast biogenesis (import) conserved machinery
Os-VIPP1,Os01g0895100,,GO:0010207,biogenesis,thylakoid_assembly,False,AT1G65260,VIPP1,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT1G65260,entrez:4324967; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-CPFTSY,Os01g0958100,,GO:0010207,biogenesis,thylakoid_assembly,False,AT2G45770,CPFTSY,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT2G45770,entrez:4325387; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-PDV1,Os02g0264300,,GO:0010020,biogenesis,division,False,AT5G53280,PDV1,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT5G53280,entrez:4328948; chloroplast biogenesis (division) conserved machinery
Os-CPSRP43,Os03g0131900,,GO:0010207,biogenesis,thylakoid_assembly,False,AT2G47450,CPSRP43,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT2G47450,entrez:4331514; chloroplast biogenesis (thylakoid_assembly) conserved machinery
Os-TOC33/TOC34,Os03g0240500,,GO:0045037,biogenesis,import,False,AT1G02280/AT5G05000,TOC33/TOC34,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT1G02280/AT5G05000,entrez:4332203; chloroplast biogenesis (import) conserved machinery
Os-TOC75-III,Os03g0271200,,GO:0045037,biogenesis,import,False,AT3G46740,TOC75-III,ensembl_compara_plants_homology,medium,ensembl_compara_plants:many2many<-AT3G46740,entrez:4332389; chloroplast biogenesis (import) conserved machinery
Os-GUN5/CHLH,Os03g0323200,,GO:0015995,biogenesis,chlorophyll,False,AT5G13630,GUN5/CHLH,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G13630,entrez:4332690; chloroplast biogenesis (chlorophyll) conserved machinery
Os-FTSZ2-1/FTSZ2-2,Os03g0646100,,GO:0010020,biogenesis,division,False,AT2G36250/AT3G52750,FTSZ2-1/FTSZ2-2,ensembl_compara_plants_homology,medium,ensembl_compara_plants:many2many<-AT2G36250/AT3G52750,entrez:4333567; chloroplast biogenesis (division) conserved machinery
Os-TOC159,Os03g0835100,,GO:0045037,biogenesis,import,False,AT4G02510,TOC159,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT4G02510,entrez:4334695; chloroplast biogenesis (import) conserved machinery
Os-TIC40,Os04g0439900,,GO:0045037,biogenesis,import,False,AT5G16620,TIC40,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT5G16620,entrez:4335926; chloroplast biogenesis (import) conserved machinery
