symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
PEX3,AT1G48635,Q8S9K7,GO:0007031,biogenesis,denovo,False,YDR329C,PEX3,conserved_family_GO,medium,conserved_family_and_shared_GO_no_compara_call,"peroxisomal membrane biogenesis; conserved (family/GO, no Compara 1:1 call)"
PEX16,AT2G45690,Q8S8S1,GO:0007031,biogenesis,denovo,False,,,conserved_family_GO,none,no_yeast_ortholog_conserved_machinery,"SSE1/PEX16; plant+mammal membrane-biogenesis peroxin, no S.cerevisiae ortholog (yeast lacks PEX16); kept as conserved machinery"
PEX19-1,AT3G03490,Q9SRQ3,GO:0007031,biogenesis,denovo,False,YDL065C,PEX19,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YDL065C,PMP chaperone; Compara ortholog of ScPEX19
PEX19-2,AT5G17550,Q94EI3,GO:0006625;GO:0007031;GO:0045046,biogenesis,denovo,False,YDL065C,PEX19,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YDL065C,PMP chaperone paralog; Compara ortholog of ScPEX19
PEX5,AT5G56290,Q9FMA3,GO:0006625;GO:0016560,biogenesis,import,False,YDR244W,PEX5,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YDR244W,PTS1 receptor; Compara ortholog of ScPEX5 (also maps ScPEX9)
PEX7,AT1G29260,Q9XF57,GO:0006625;GO:0016558,biogenesis,import,False,YDR142C,PEX7,conserved_family_GO,medium,"conserved_family_and_shared_GO_no_compara_call;compara_hits_nonPEX_WD40(YDR030C,YEL056W)",PTS2 receptor; conserved 1:1 machinery with ScPEX7 (YDR142C) by family+GO; Compara pan-homology returned only non-PEX WD40 proteins so anchor assigned by family/GO
PEX13,AT3G07560,Q9SRR0,GO:0016558;GO:0016560,biogenesis,import,False,YLR191W,PEX13,conserved_family_GO,medium,conserved_family_and_shared_GO_no_compara_call,docking complex; conserved (family/GO)
PEX14,AT5G62810,Q9FXT6,GO:0006625;GO:0007031;GO:0016560,biogenesis,import,False,YGL153W,PEX14,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YGL153W,docking complex; Compara 1:1 ortholog of ScPEX14
PEX2,AT1G79810,Q9CA86,GO:0007031;GO:0016558,biogenesis,ubiquitination,False,YJL210W,PEX2,conserved_family_GO,medium,conserved_family_and_shared_GO_no_compara_call,RING E3 (TED3); conserved (family/GO)
PEX10,AT2G26350,Q9SYU4,GO:0007031,biogenesis,ubiquitination,False,YDR265W,PEX10,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YDR265W,RING E3; Compara 1:1 ortholog of ScPEX10
