symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
ATG11_0790,AT4G30790,Q9SUG7,GO:0000045;GO:0000422;GO:0006914,mitophagy,scaffold,True,YPR049C,ATG11,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,selective-autophagy scaffold; shared across selective autophagy
ATG13_9590,AT3G49590,,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YPR185W,ATG13,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YPR185W,Atg1 complex regulatory subunit
ATG8_2040,AT1G62040,Q8S927,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,Atg8 lipidated on autophagosome membrane
ATG8_5630,AT2G05630,,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,Atg8 lipidated on autophagosome membrane
ATG8_5170,AT2G45170,Q8S926,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,Atg8 lipidated on autophagosome membrane
ATG8_6420,AT3G06420,Q8S925,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YBL078C,ATG8,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,Atg8 lipidated on autophagosome membrane
ATG8_0640,AT3G60640,,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,Atg8 lipidated on autophagosome membrane
ATG8_4620,AT4G04620,Q9XEB5,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YBL078C,ATG8,conserved_family_GO,medium,tair_curated_symbol_ortholog_no_compara,Atg8 lipidated on autophagosome membrane
ATG8_6520,AT4G16520,Q8VYK7,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YBL078C,ATG8,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBL078C,Atg8 lipidated on autophagosome membrane
ATG9_1260,AT2G31260,Q8RUS5,GO:0000045;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YDL149W,ATG9,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YDL149W,membrane source transmembrane protein
ATG7_5900,AT5G45900,Q94CD5,GO:0000045;GO:0000422;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YHR171W,ATG7,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YHR171W,E1-like Atg8/Atg12 activating enzyme
ATG5_7290,AT5G17290,Q9FFI2,GO:0000045;GO:0000423;GO:0006914,mitophagy,core_autophagy_shared,True,YPL149W,ATG5,ensembl_compara_pan_homology,high,ensembl_compara:ortholog_one2one->YPL149W,Atg12-Atg5 conjugate
ATG12_4210,AT1G54210,Q8S924,GO:0000045;GO:0000422;GO:0006914,mitophagy,core_autophagy_shared,True,YBR217W,ATG12,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBR217W,ubiquitin-like conjugated to Atg5
ATG12_3970,AT3G13970,Q9LVK3,GO:0000045;GO:0000422;GO:0006914,mitophagy,core_autophagy_shared,True,YBR217W,ATG12,ensembl_compara_pan_homology,medium,ensembl_compara:ortholog_one2many->YBR217W,ubiquitin-like conjugated to Atg5
