symbol,resolved_systematic_id,resolved_ensembl_id,entrez_id,gene_name,go_cc_terms,module,submodule,shared_with_bulk_autophagy,notes
SEC61A1,ENSG00000058262,ENSG00000058262,29927,SEC61 translocon subunit alpha 1,GO:0005783;GO:0005784;GO:0005789;GO:0016020,biogenesis,translocon,False,Sec61 translocon alpha (central channel); cotranslational protein import into ER
SEC61B,ENSG00000106803,ENSG00000106803,10952,SEC61 translocon subunit beta,GO:0005783;GO:0005784;GO:0005789;GO:0005829;GO:0016020;GO:0031205;GO:0044322,biogenesis,translocon,False,Sec61 translocon beta
SEC61G,ENSG00000132432,ENSG00000132432,23480,SEC61 translocon subunit gamma,GO:0005784;GO:0005789;GO:0005829;GO:0016020;GO:0071261,biogenesis,translocon,False,Sec61 translocon gamma
SEC62,ENSG00000008952,ENSG00000008952,7095,SEC62 preprotein translocation factor,GO:0005783;GO:0005789;GO:0005791;GO:0016020,biogenesis,translocon,False,"Sec62 post-translational translocon; ALSO recovER-phagy receptor (dual-role, flagged in er_erphagy_human.csv)"
SEC63,ENSG00000025796,ENSG00000025796,11231,SEC63 protein translocation regulator,GO:0005783;GO:0005789;GO:0016020;GO:0031207,biogenesis,translocon,False,"Sec63 J-domain, recruits BiP/HSPA5"
SSR1,ENSG00000124783,ENSG00000124783,6745,signal sequence receptor subunit 1,GO:0005783;GO:0005789;GO:0016020;GO:0071256,biogenesis,translocon,False,TRAP/signal-sequence receptor alpha
SSR2,ENSG00000163479,ENSG00000163479,6746,signal sequence receptor subunit 2,GO:0005783;GO:0005789;GO:0016020;GO:0071256,biogenesis,translocon,False,TRAP beta
SSR3,ENSG00000114850,ENSG00000114850,6747,signal sequence receptor subunit 3,GO:0005783;GO:0005789;GO:0016020;GO:0071256,biogenesis,translocon,False,TRAP gamma
SSR4,ENSG00000180879,ENSG00000180879,6748,signal sequence receptor subunit 4,GO:0005783;GO:0005784;GO:0005789;GO:0012505;GO:0016020;GO:0070062;GO:0071256,biogenesis,translocon,False,TRAP delta
SRP54,ENSG00000100883,ENSG00000100883,6729,signal recognition particle 54,GO:0005634;GO:0005730;GO:0005737;GO:0005783;GO:0005786;GO:0005829;GO:0016607;GO:0048500,biogenesis,SRP_targeting,False,"SRP GTPase, signal-peptide binding"
SRP68,ENSG00000167881,ENSG00000167881,6730,signal recognition particle 68,GO:0005730;GO:0005737;GO:0005783;GO:0005786;GO:0005829;GO:0005840;GO:0048500,biogenesis,SRP_targeting,False,SRP subunit
SRP72,ENSG00000174780,ENSG00000174780,6731,signal recognition particle 72,GO:0005737;GO:0005783;GO:0005786;GO:0005829;GO:0048500,biogenesis,SRP_targeting,False,SRP subunit
SRP9,ENSG00000143742,ENSG00000143742,6726,signal recognition particle 9,GO:0005737;GO:0005785;GO:0005786;GO:0005829;GO:0048500,biogenesis,SRP_targeting,False,SRP Alu domain
SRP14,ENSG00000140319,ENSG00000140319,6727,signal recognition particle 14,GO:0005576;GO:0005634;GO:0005737;GO:0005786;GO:0005829;GO:0034774;GO:0048500;GO:1904813,biogenesis,SRP_targeting,False,SRP Alu domain
SRP19,ENSG00000153037,ENSG00000153037,6728,signal recognition particle 19,GO:0005654;GO:0005730;GO:0005737;GO:0005786;GO:0005829;GO:0048500,biogenesis,SRP_targeting,False,SRP S domain
SRPRA,ENSG00000182934,ENSG00000182934,6734,SRP receptor subunit alpha,GO:0005785;GO:0005789;GO:0016020;GO:0070062,biogenesis,SRP_targeting,False,SRP receptor alpha (ER membrane)
SRPRB,ENSG00000144867,ENSG00000144867,58477,SRP receptor subunit beta,GO:0005737;GO:0005785;GO:0005789;GO:0005881;GO:0016020,biogenesis,SRP_targeting,False,SRP receptor beta
STT3A,ENSG00000134910,ENSG00000134910,3703,STT3 oligosaccharyltransferase complex catalytic subunit A,GO:0005783;GO:0005789;GO:0008250;GO:0016020;GO:0160226,biogenesis,OST_glycosylation,False,OST catalytic subunit (cotranslational N-glyc)
