symbol,resolved_systematic_id,uniprot_id,gene_name,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes
TOMM20,ENSG00000173726,Q15388,translocase of outer mitochondrial membrane 20,GO:0005739;GO:0045040,biogenesis,import_TOM,False,
TOMM22,ENSG00000100216,Q9NS69,translocase of outer mitochondrial membrane 22,GO:0005739;GO:0045040,biogenesis,import_TOM,False,
TOMM40,ENSG00000130204,O96008,translocase of outer mitochondrial membrane 40,GO:0005739;GO:0045040,biogenesis,import_TOM,False,
TOMM70,ENSG00000154174,O94826,translocase of outer mitochondrial membrane 70,GO:0005739;GO:0045039;GO:0045040,biogenesis,import_TOM,False,
TOMM7,ENSG00000196683,Q9P0U1,translocase of outer mitochondrial membrane 7,GO:0005739;GO:0045040,biogenesis,import_TOM,False,
TOMM5,ENSG00000175768,Q8N4H5,translocase of outer mitochondrial membrane 5,GO:0005739;GO:0045040,biogenesis,import_TOM,False,
TOMM6,ENSG00000214736,Q96B49,translocase of outer mitochondrial membrane 6,GO:0005739;GO:0045040,biogenesis,import_TOM,False,
TOMM40L,ENSG00000158882,Q969M1,translocase of outer mitochondrial membrane 40 like,GO:0005739,biogenesis,import_TOM,False,
TIMM23,ENSG00000265354,O14925,translocase of inner mitochondrial membrane 23,GO:0005739,biogenesis,import_TIM,False,
TIMM17A,ENSG00000134375,Q99595,translocase of inner mitochondrial membrane 17A,GO:0005739,biogenesis,import_TIM,False,
TIMM17B,ENSG00000292215,O60830,translocase of inner mitochondrial membrane 17B,GO:0005739,biogenesis,import_TIM,False,
TIMM44,ENSG00000104980,O43615,translocase of inner mitochondrial membrane 44,GO:0005739,biogenesis,import_TIM,False,
TIMM50,ENSG00000105197,Q3ZCQ8,translocase of inner mitochondrial membrane 50,GO:0005739,biogenesis,import_TIM,False,
TIMM21,ENSG00000075336,Q9BVV7,translocase of inner mitochondrial membrane 21,GO:0005739;GO:0032981,biogenesis,import_TIM,False,
TIMM13,ENSG00000099800,Q9Y5L4,translocase of inner mitochondrial membrane 13,GO:0005739;GO:0045039,biogenesis,import_TIM,False,
TIMM8A,ENSG00000126953,O60220,translocase of inner mitochondrial membrane 8A,GO:0005739;GO:0045039,biogenesis,import_TIM,False,
TIMM9,ENSG00000100575,Q9Y5J7,translocase of inner mitochondrial membrane 9,GO:0005739;GO:0045039,biogenesis,import_TIM,False,
TIMM10,ENSG00000134809,P62072,translocase of inner mitochondrial membrane 10,GO:0005739;GO:0045039,biogenesis,import_TIM,False,
TIMM22,ENSG00000277649,Q9Y584,translocase of inner mitochondrial membrane 22,GO:0005739;GO:0045039,biogenesis,import_TIM,False,
PAM16,ENSG00000217930,Q9Y3D7,presequence translocase associated motor 16,GO:0005739,biogenesis,import_TIM,False,
DNAJC19,ENSG00000205981,Q96DA6,DnaJ heat shock protein family (Hsp40) member C19,GO:0005739,biogenesis,import_TIM,False,
