symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence
mitochondrial import receptor subunit TOM40-1,Os03g0323800,,,biogenesis,import_TOM,False,rice ortholog of Sc TOM40; two-hop yeast->At(AT1G50400)->Os ortholog_one2many,YMR203W,TOM40,panther_O+ensembl_compara_AtOs,medium
mitochondrial import receptor subunit TOM7-1,Os01g0626300,,,biogenesis,import_TOM,False,rice ortholog of Sc TOM7; two-hop yeast->At(AT5G41685)->Os ortholog_one2many,YNL070W,TOM7,panther_LDO+ensembl_compara_AtOs,medium
mitochondrial import receptor subunit TOM7-1,Os05g0583400,,,biogenesis,import_TOM,False,rice ortholog of Sc TOM7; two-hop yeast->At(AT5G41685)->Os ortholog_one2many,YNL070W,TOM7,panther_LDO+ensembl_compara_AtOs,medium
Os02g0672500,Os02g0672500,,,biogenesis,import_TIM23,False,rice ortholog of Sc TIM23; two-hop yeast->At(AT1G72750)->Os ortholog_one2many,YNR017W,TIM23,panther_LDO+ensembl_compara_AtOs,medium
mitochondrial import inner membrane translocase subunit TIM17-1,Os03g0415500,,,biogenesis,import_TIM23,False,rice ortholog of Sc TIM17; two-hop yeast->At(AT5G11690)->Os ortholog_many2many,YJL143W,TIM17,panther_O+ensembl_compara_AtOs,low
Os03g0415700,Os03g0415700,,,biogenesis,import_TIM23,False,rice ortholog of Sc TIM17; two-hop yeast->At(AT5G11690)->Os ortholog_many2many,YJL143W,TIM17,panther_O+ensembl_compara_AtOs,low
mitochondrial import inner membrane translocase subunit TIM17-2,Os07g0604500,,,biogenesis,import_TIM23,False,rice ortholog of Sc TIM17; two-hop yeast->At(AT5G11690)->Os ortholog_many2many,YJL143W,TIM17,panther_O+ensembl_compara_AtOs,low
mitochondrial import inner membrane translocase subunit TIM17-2,Os07g0604550,,,biogenesis,import_TIM23,False,rice ortholog of Sc TIM17; two-hop yeast->At(AT5G11690)->Os ortholog_many2many,YJL143W,TIM17,panther_O+ensembl_compara_AtOs,low
mitochondrial import inner membrane translocase subunit TIM50,Os01g0762400,,,biogenesis,import_TIM23,False,rice ortholog of Sc TIM50; two-hop yeast->At(AT1G55900)->Os ortholog_one2many,YPL063W,TIM50,panther_LDO+ensembl_compara_AtOs,medium
mitochondrial import inner membrane translocase subunit TIM50,Os05g0513200,,,biogenesis,import_TIM23,False,rice ortholog of Sc TIM50; two-hop yeast->At(AT1G55900)->Os ortholog_one2many,YPL063W,TIM50,panther_LDO+ensembl_compara_AtOs,medium
mitochondrial import inner membrane translocase subunit TIM44-2,Os07g0409700,,,biogenesis,import_PAM,False,rice ortholog of Sc TIM44; two-hop yeast->At(AT2G36070)->Os ortholog_one2many,YIL022W,TIM44,panther_LDO+ensembl_compara_AtOs,medium
mitochondrial import inner membrane translocase subunit PAM16 like 2,Os01g0960800,,,biogenesis,import_PAM,False,rice ortholog of Sc PAM16; two-hop yeast->At(AT5G61880)->Os ortholog_many2many,YJL104W,PAM16,panther_LDO+ensembl_compara_AtOs,low
mitochondrial import inner membrane translocase subunit PAM16 like 2,Os10g0479600,,,biogenesis,import_PAM,False,rice ortholog of Sc PAM16; two-hop yeast->At(AT5G61880)->Os ortholog_many2many,YJL104W,PAM16,panther_LDO+ensembl_compara_AtOs,low
mitochondrial import inner membrane translocase subunit TIM14-1,Os01g0157800,,,biogenesis,import_PAM,False,rice ortholog of Sc PAM18; two-hop yeast->At(AT2G35795)->Os ortholog_many2many,YLR008C,PAM18,panther_LDO+ensembl_compara_AtOs,low
mitochondrial import inner membrane translocase subunit TIM14-1,Os07g0192300,,,biogenesis,import_PAM,False,rice ortholog of Sc PAM18; two-hop yeast->At(AT2G35795)->Os ortholog_many2many,YLR008C,PAM18,panther_LDO+ensembl_compara_AtOs,low
"grpE protein homolog 2, mitochondrial",Os08g0338700,,,biogenesis,import_PAM,False,rice ortholog of Sc MGE1; two-hop yeast->At(AT4G26780)->Os ortholog_many2many,YOR232W,MGE1,panther_LDO+ensembl_compara_AtOs,low
"grpE protein homolog 2, mitochondrial",Os09g0284400,,,biogenesis,import_PAM,False,rice ortholog of Sc MGE1; two-hop yeast->At(AT4G26780)->Os ortholog_many2many,YOR232W,MGE1,panther_LDO+ensembl_compara_AtOs,low
