symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence,ortholog_evidence,notes
Os-ATG3,Os01g0200000,,GO:0006914,degradation,core_autophagy_shared,True,AT5G61500,ATG3,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G61500,entrez:4327346; core autophagy machinery (shared with bulk autophagy)
Os-ATG7,Os01g0614900,,GO:0006914,degradation,core_autophagy_shared,True,AT5G45900,ATG7,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT5G45900,entrez:4326644; core autophagy machinery (shared with bulk autophagy)
Os-ATG6,Os01g0681400,,GO:0006914,degradation,core_autophagy_shared,True,AT3G61710,ATG6,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT3G61710,entrez:4324394; core autophagy machinery (shared with bulk autophagy)
Os-ATG5,Os02g0117800,,GO:0006914,degradation,core_autophagy_shared,True,AT5G17290,ATG5,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT5G17290,entrez:4328092; core autophagy machinery (shared with bulk autophagy)
Os-ATG11,Os02g0179800,,GO:0006914,degradation,receptor_scaffold,True,AT4G30790,ATG11,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT4G30790,entrez:4328503; core autophagy machinery (shared with bulk autophagy)
Os-ATG18B,Os02g0791800,,GO:0006914,degradation,core_autophagy_shared,True,AT4G30510,ATG18B,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT4G30510,entrez:4330978; core autophagy machinery (shared with bulk autophagy); ATG18 family via ATG18B paralog (japonica ATG18A tree split)
Os-ATG1,Os03g0122000,,GO:0006914,degradation,core_autophagy_shared,True,AT3G61960,ATG1,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT3G61960,entrez:4331441; core autophagy machinery (shared with bulk autophagy)
Os-ATG9,Os03g0248000,,GO:0006914,degradation,core_autophagy_shared,True,AT2G31260,ATG9,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT2G31260,entrez:4332250; core autophagy machinery (shared with bulk autophagy)
Os-ATG6,Os03g0258500,,GO:0006914,degradation,core_autophagy_shared,True,AT3G61710,ATG6,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT3G61710,core autophagy machinery (shared with bulk autophagy)
Os-ATG6,Os03g0644000,,GO:0006914,degradation,core_autophagy_shared,True,AT3G61710,ATG6,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT3G61710,entrez:4333557; core autophagy machinery (shared with bulk autophagy)
Os-ATG13,Os04g0538700,,GO:0006914,degradation,core_autophagy_shared,True,AT3G49590,ATG13,ensembl_compara_plants_homology,high,ensembl_compara_plants:one2one<-AT3G49590,entrez:4336527; core autophagy machinery (shared with bulk autophagy)
Os-VPS34,Os05g0180600,,GO:0006914,degradation,core_autophagy_shared,True,AT1G60490,VPS34,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT1G60490,entrez:4337982; core autophagy machinery (shared with bulk autophagy)
Os-ATG18G,Os05g0405900,,GO:0006914,degradation,core_autophagy_shared,True,AT1G03380,ATG18G,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT1G03380,entrez:4338754; core autophagy machinery (shared with bulk autophagy); ATG18 family via ATG18G paralog
Os-ATG12A,Os06g0205000,,GO:0006914,degradation,core_autophagy_shared,True,AT1G54210,ATG12A,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT1G54210,entrez:4340429; core autophagy machinery (shared with bulk autophagy)
Os-VPS34,Os08g0307400,,GO:0006914,degradation,core_autophagy_shared,True,AT1G60490,VPS34,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT1G60490,entrez:4345232; core autophagy machinery (shared with bulk autophagy)
Os-ATG9,Os10g0163100,,GO:0006914,degradation,core_autophagy_shared,True,AT2G31260,ATG9,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT2G31260,entrez:107275726; core autophagy machinery (shared with bulk autophagy)
Os-ATG3,Os10g0560450,,GO:0006914,degradation,core_autophagy_shared,True,AT5G61500,ATG3,ensembl_compara_plants_homology,medium,ensembl_compara_plants:one2many<-AT5G61500,core autophagy machinery (shared with bulk autophagy)
