gene,rho,p,mean_effect
SDHA,-0.343877812975459,5.919085563983439e-31,-0.25539530137381666
SDHB,-0.34371134806890175,6.345291409594468e-31,-0.4892959218235337
TWNK,-0.34349421260789087,6.947246512363142e-31,-0.3610614191635627
SDHC,-0.3153735754980339,4.8017795136358487e-26,-0.8505960863875999
BCS1L,-0.30935300720552616,4.4935992177061585e-25,-0.3718409277004489
COX6C,-0.3051768223294662,2.05663369657065e-24,-0.37884178554468706
POLG,-0.3050172620908375,2.1786310509539414e-24,-0.2914465842042352
SCO1,-0.304787253436178,2.3671884346789777e-24,-0.17359538614801323
UQCRC2,-0.3008126511823231,9.819540078637488e-24,-0.4857264068039008
COX4I1,-0.2982941958445063,2.39133678775128e-23,-0.3656657670554863
TFB1M,-0.2976598926310268,2.9881027406536936e-23,-0.2394361349676485
UQCRC1,-0.2889011133321346,6.121242401159575e-22,-0.5389919931344371
CYC1,-0.2826810179677736,4.9044134619214675e-21,-0.4750004895777861
UQCRB,-0.28016993784555627,1.119472098214489e-20,-0.4463044778229657
COX5B,-0.27624216746778724,4.002259202665245e-20,-0.4335271403495234
COX10,-0.2709066571464801,2.1859409480258483e-19,-0.39282136281091296
SCO2,-0.27035151491064274,2.602659300115142e-19,-0.09722310153442669
MICOS10,-0.2615726853278377,3.894488937777123e-18,-0.4376727194943238
NDUFS1,-0.25686266659573115,1.5957043973460007e-17,-0.46059915614395563
COX15,-0.25611774505452783,1.9892365777730513e-17,-0.3009280782732859
UQCRFS1,-0.25380718758397264,3.923390305944312e-17,-0.5920870950296173
POLG2,-0.2497971208951334,1.2547778556974337e-16,-0.33528471908247626
POLRMT,-0.24813056982634454,2.0220261240490505e-16,-0.5530103708932592
NDUFAF1,-0.242148928209052,1.0888888346412756e-15,-0.4968731972553512
NDUFS2,-0.23607352377691992,5.750059154913538e-15,-0.4649146397009708
TFB2M,-0.22980758716314847,3.0489257714960446e-14,-0.6275511717109789
CHCHD3,-0.22796153454075235,4.938283208528061e-14,-0.3449557175127864
NDUFB8,-0.22179814760043245,2.396952817972819e-13,-0.38267991425267206
COX5A,-0.21875727042587131,5.137504521129255e-13,-0.4686561245280648
SSBP1,-0.2149203306079823,1.323072517646908e-12,-0.4003203179049295
MICOS13,-0.21343984399452612,1.8968910942302487e-12,-0.2070988570022673
ATP5F1A,-0.20416937134578558,1.7054704938832295e-11,-0.6948878976573307
SDHD,-0.20303965573187022,2.2132954535491485e-11,-0.5258625028519951
NDUFV1,-0.1932859009063357,1.9731909841802827e-10,-0.3396766384482219
