symbol,resolved_systematic_id,uniprot_id,gene_name,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes
NCOA4,ENSG00000266412,Q13772,nuclear receptor coactivator 4,GO:0006622;GO:0044754,degradation,receptor_selective,False,specific ferritinophagy cargo receptor; delivers ferritin to autolysosome. NOTE: regulated POST-TRANSLATIONALLY (HERC2 degradation iron-replete; stabilization iron-deplete) - mRNA proxy does NOT track ferritinophagy induction
ULK1,ENSG00000177169,O75385,unc-51 like autophagy activating kinase 1,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
ATG13,ENSG00000175224,O75143,autophagy related 13,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
ATG101,ENSG00000123395,Q9BSB4,autophagy related 101,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
RB1CC1,ENSG00000023287,Q8TDY2,RB1 inducible coiled-coil 1,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
BECN1,ENSG00000126581,Q14457,beclin 1,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
ATG5,ENSG00000057663,Q9H1Y0,autophagy related 5,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
ATG7,ENSG00000197548,O95352,autophagy related 7,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
ATG12,ENSG00000145782,O94817,autophagy related 12,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
MAP1LC3B,ENSG00000140941,Q9GZQ8,microtubule associated protein 1 light chain 3 beta,GO:0000045;GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
WIPI2,ENSG00000157954,Q9Y4P8,"WD repeat domain, phosphoinositide interacting 2",GO:0000045,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
SQSTM1,ENSG00000161011,Q13501,sequestosome 1,GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
AMBRA1,ENSG00000110497,Q9C0C7,autophagy and beclin 1 regulator 1,GO:0006914,degradation,core_autophagy_shared,True,core autophagy machinery - shared with bulk autophagy
