symbol,resolved_systematic_id,uniprot_id,gene_name,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes
BOP1,ENSG00000261236,Q14137,BOP1 ribosomal biogenesis factor,GO:0006364;GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
PES1,ENSG00000100029,O00541,pescadillo ribosomal biogenesis factor 1,GO:0006364;GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
WDR12,ENSG00000138442,Q9GZL7,WD repeat domain 12,GO:0006364;GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
RRP1,ENSG00000160214,P56182,ribosomal RNA processing 1,GO:0006364,anabolism_control,rrna_processing_ribosome_biogenesis,False,
RRP9,ENSG00000114767,O43818,"ribosomal RNA processing 9, U3 small nucleolar RNA binding protein",GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
FBL,ENSG00000105202,P22087,fibrillarin rRNA 2'-O-methyltransferase,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
NOP56,ENSG00000101361,O00567,NOP56 ribonucleoprotein,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
NOP58,ENSG00000055044,Q9Y2X3,NOP58 ribonucleoprotein,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
NCL,ENSG00000173726,Q15388,nucleolin,GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
NPM1,ENSG00000181163,P06748,nucleophosmin 1,GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
GNL3,ENSG00000163938,Q9BVP2,G protein nucleolar 3,,anabolism_control,rrna_processing_ribosome_biogenesis,False,
BYSL,ENSG00000112578,Q13895,bystin like,GO:0006364;GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
DDX21,ENSG00000165732,Q9NR30,DExD-box helicase 21,,anabolism_control,rrna_processing_ribosome_biogenesis,False,
UTP14A,ENSG00000156697,Q9BVJ6,UTP14A small subunit processome component,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
UTP15,ENSG00000164338,Q8TED0,UTP15 small subunit processome component,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
WDR3,ENSG00000065183,Q9UNX4,WD repeat domain 3,GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
WDR36,ENSG00000134987,Q8NI36,WD repeat domain 36,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
RCL1,ENSG00000120158,Q9Y2P8,RNA terminal phosphate cyclase like 1,GO:0030490;GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
MYBBP1A,ENSG00000132382,Q9BQG0,MYB binding protein 1a,,anabolism_control,rrna_processing_ribosome_biogenesis,False,
LTV1,ENSG00000135521,Q96GA3,LTV1 ribosome biogenesis factor,GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
NOB1,ENSG00000141101,Q9ULX3,NIN1 (RPN12) binding protein 1 homolog,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
RIOK2,ENSG00000058729,Q9BVS4,RIO kinase 2,GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
EMG1,ENSG00000126749,Q92979,EMG1 N1-specific pseudouridine methyltransferase,GO:0006364;GO:0030490,anabolism_control,rrna_processing_ribosome_biogenesis,False,
DKC1,ENSG00000130826,O60832,dyskerin pseudouridine synthase 1,GO:0006364,anabolism_control,rrna_processing_ribosome_biogenesis,False,
GAR1,ENSG00000109534,Q9NY12,GAR1 ribonucleoprotein,GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
NHP2,ENSG00000145912,Q9NX24,NHP2 ribonucleoprotein,,anabolism_control,rrna_processing_ribosome_biogenesis,False,
NOP10,ENSG00000182117,Q9NPE3,NOP10 ribonucleoprotein,GO:0042254,anabolism_control,rrna_processing_ribosome_biogenesis,False,
RPL3,ENSG00000100316,P39023,ribosomal protein L3,,anabolism_control,ribosomal_protein,False,
RPL4,ENSG00000174444,P36578,ribosomal protein L4,,anabolism_control,ribosomal_protein,False,
RPL5,ENSG00000122406,P46777,ribosomal protein L5,GO:0006364,anabolism_control,ribosomal_protein,False,
RPS3,ENSG00000149273,P23396,ribosomal protein S3,,anabolism_control,ribosomal_protein,False,
RPS6,ENSG00000137154,P62753,ribosomal protein S6,GO:0006364,anabolism_control,ribosomal_protein,False,
RPL11,ENSG00000142676,P62913,ribosomal protein L11,GO:0006364,anabolism_control,ribosomal_protein,False,
RPS19,ENSG00000105372,P39019,ribosomal protein S19,GO:0006364;GO:0030490,anabolism_control,ribosomal_protein,False,
RPLP0,ENSG00000089157,P05388,ribosomal protein lateral stalk subunit P0,GO:0042254,anabolism_control,ribosomal_protein,False,
