symbol,resolved_systematic_id,uniprot_id,source_go_terms,module,submodule,shared_with_bulk_autophagy,notes,ortholog_of,ortholog_of_symbol,ortholog_method,ortholog_confidence
autophagy-related protein 11,Os02g0179800,,,degradation,scaffold,True,"rice ortholog of At ATG11 (AT4G30790); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YPR049C,ATG11,ensembl_compara_AtOs,high
OsGH9B17,Os12g0428200,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG101 (AT5G66930); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",,,ensembl_compara_AtOs,medium
autophagy-related protein 101,Os12g0446700,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG101 (AT5G66930); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",,,ensembl_compara_AtOs,medium
autophagy-related protein 13a,Os04g0538700,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG13 (AT3G49590); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YPR185W,ATG13,ensembl_compara_AtOs,high
autophagy-related protein 8A-like,Os07g0512200,,,degradation,core_autophagy_shared,True,ATG8 family; RAP-DB named; module reused for pexophagy,YBL078C,ATG8,mygene_rice_named,medium
ubiquitin-like modifier-activating enzyme atg7,Os01g0614900,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG7 (AT5G45900); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YHR171W,ATG7,ensembl_compara_AtOs,high
autophagy-related protein 3,Os01g0200000,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG3 (AT5G61500); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YNR007C,ATG3,ensembl_compara_AtOs,medium
OsATG3b,Os10g0560450,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG3 (AT5G61500); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YNR007C,ATG3,ensembl_compara_AtOs,medium
autophagy protein 5-like,Os02g0117800,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG5 (AT5G17290); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YPL149W,ATG5,ensembl_compara_AtOs,high
ubiquitin-like protein ATG12,Os06g0205000,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG12A (AT1G54210); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YBR217W,ATG12,ensembl_compara_AtOs,medium
ubiquitin-like-conjugating enzyme ATG10,Os12g0506800,,,degradation,core_autophagy_shared,True,ATG10 conjugating enzyme; RAP-DB named; module reused for pexophagy,YLL042C,ATG10,mygene_rice_named,medium
ubiquitin-like-conjugating enzyme ATG10,Os04g0497350,,,degradation,core_autophagy_shared,True,ATG10 conjugating enzyme; RAP-DB named; module reused for pexophagy,YLL042C,ATG10,mygene_rice_named,medium
autophagy-related protein 9,Os03g0248000,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG9 (AT2G31260); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YDL149W,ATG9,ensembl_compara_AtOs,medium
autophagy-related protein 9,Os10g0163100,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG9 (AT2G31260); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YDL149W,ATG9,ensembl_compara_AtOs,medium
autophagy-related protein 18a,Os01g0934000,,,degradation,core_autophagy_shared,True,ATG18a; RAP-DB named; module reused for pexophagy,YFR021W,ATG18,mygene_rice_named,medium
autophagy-related protein 18b,Os02g0791800,,,degradation,core_autophagy_shared,True,ATG18b; RAP-DB named; module reused for pexophagy,YFR021W,ATG18,mygene_rice_named,medium
autophagy-related protein 18h,Os05g0405900,,,degradation,core_autophagy_shared,True,ATG18h; RAP-DB named; module reused for pexophagy,YFR021W,ATG18,mygene_rice_named,medium
beclin-1-like protein,Os01g0681400,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG6 (AT3G61710); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YPL120W,VPS30,ensembl_compara_AtOs,medium
ATG6C,Os03g0258500,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG6 (AT3G61710); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YPL120W,VPS30,ensembl_compara_AtOs,medium
beclin-1-like protein,Os03g0644000,,,degradation,core_autophagy_shared,True,"rice ortholog of At ATG6 (AT3G61710); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YPL120W,VPS30,ensembl_compara_AtOs,medium
"phosphatidylinositol 3-kinase, root isoform",Os05g0180600,,,degradation,core_autophagy_shared,True,"rice ortholog of At VPS34 (AT1G60490); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YLR240W,VPS34,ensembl_compara_AtOs,medium
"phosphatidylinositol 3-kinase, root isoform",Os08g0307400,,,degradation,core_autophagy_shared,True,"rice ortholog of At VPS34 (AT1G60490); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YLR240W,VPS34,ensembl_compara_AtOs,medium
OsWD40-57,Os02g0796700,,,degradation,core_autophagy_shared,True,"rice ortholog of At VPS15 (AT4G29380); core autophagy machinery, shared with bulk autophagy; module reused for pexophagy",YBR097W,VPS15,ensembl_compara_AtOs,high
